periodo,demanda_comercial,demanda_industrial/comercial_grande,demanda_residencial,demanda_total,demanda_comercial_deses,demanda_industrial/comercial_grande_deses,demanda_residencial_deses,demanda_total_deses
2017/01/01,84275.2,34115.1,201983.3,320373.5,65604.1,29582.2,147200.3,242386.6
2017/02/01,67299.5,31631,176310.7,275241.1,61267.8,29782.3,146776.6,237826.8
2017/03/01,62312.7,32680.4,183486.1,278479.3,57820.9,30350.9,155565.1,243736.8
2017/04/01,56897.3,26897,120700.6,204494.9,58139.9,29428.2,147251.1,234819.2
2017/05/01,49114.6,27256.1,129147.3,205517.9,56940.0,30393.2,160177.3,247510.5
2017/06/01,48512.3,26053.1,133515,208080.4,55244.5,29591.8,159239.1,244075.3
2017/07/01,56130.9,26780.7,125036.3,207947.9,60507.8,30148.2,143201.4,233857.4
2017/08/01,55632,27908.8,121915.8,205456.7,60956.2,30052.8,145842.5,236851.6
2017/09/01,54497.7,27356.5,120475.5,202329.7,62851.6,30073.0,150425.7,243350.3
2017/10/01,55233.8,29244,131185.5,215663.3,61178.0,29776.7,143087.3,234042.0
2017/11/01,53376.8,33659.8,148271.7,235308.4,54811.4,29892.2,143439.3,228142.9
2017/12/01,68793.2,36709.5,226901.5,332404.2,56698.1,33015.5,171215.0,260928.7
2018/01/01,71833.9,35059.2,205909,312802.1,57622.1,30183.9,149350.2,237156.2
2018/02/01,66140,31649.7,193973.4,291763.2,58984.2,29822.5,161186.5,249993.2
2018/03/01,66011.6,32858.4,177075.5,275945.5,61745.0,30991.0,172046.7,264782.6
2018/04/01,68661.9,30289.9,164083.4,263035.2,68395.8,32468.1,175720.8,276584.8
2018/05/01,59349.3,27382.3,122939.6,209671.2,69434.7,30578.5,153501.8,253514.9
2018/06/01,62195.3,25062.8,123957.8,211215.8,68754.4,28801.6,148597.5,246153.5
2018/07/01,57196.5,25343.9,140696.8,223237.3,62578.1,28302.5,160231.2,251111.8
2018/08/01,56431.9,25993.7,135500.8,217926.4,61531.1,28032.7,161298.9,250862.7
2018/09/01,53771.6,25573.4,127927.8,207272.8,63182.2,28548.6,159375.9,251106.8
2018/10/01,55874.6,27462.7,139811.4,223148.7,62378.5,27488.3,151053.8,240920.6
2018/11/01,61123,29715.4,157152.7,247991,62030.4,25808.8,150709.7,238548.9
2018/12/01,68489.1,28893.8,189692.1,287075,56281.9,25658.9,144309.5,226250.3
2019/01/01,70978.1,22211.3,200149.8,293339.2,56721.9,17371.2,144042.2,218135.2
2019/02/01,65287.1,29880.4,171027.3,266194.8,58030.4,28059.5,142247.0,228336.9
2019/03/01,61090.7,29688.4,148465.8,239244.9,56112.8,28547.2,128265.4,212925.4
2019/04/01,58283.4,26298.6,124516.2,209098.2,58940.6,28582.2,153937.7,241460.5
2019/05/01,50571.7,25997.5,122082.4,198651.7,59562.2,29550.0,153653.0,242765.2
2019/06/01,52706.7,24654.1,112399.7,189760.5,58531.5,28502.0,134662.3,221695.7
2019/07/01,52392.1,26826.4,135262,214480.5,57488.1,29270.2,153635.8,240394.1
2019/08/01,53717.6,27498.5,124695.9,205911.9,59162.7,29664.1,148371.0,237197.8
2019/09/01,45792.4,27642.4,117611.1,191045.9,54551.7,30220.4,146775.8,231547.8
2019/10/01,49698.2,27994.2,145643.3,223335.7,56486.1,27604.9,155744.8,239835.7
2019/11/01,57005.2,32619.1,175964,265588.3,56725.4,28420.2,167330.5,252476.2
2019/12/01,66537.7,32860.1,177649.5,277047.3,54253.1,29395.0,135731.4,219379.6
2020/01/01,66650.7,34649.2,210270.6,311570.5,51558.3,29627.4,149390.6,230576.4
